5/7/2019, 11:19:22 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,1.89E-12,,
,0.004,3.67E-12,,
,0.006,4.91E-12,,
,0.008,3.41E-12,,
,0.01,1.59E-12,,
,0.012,-3.47E-13,,
,0.014,-1.64E-12,,
,0.016,-2.39E-12,,
,0.018,-2.49E-12,,
,0.02,-2.60E-12,,
,0.022,-3.03E-12,,
,0.024,-4.32E-12,,
,0.026,-5.93E-12,,
,0.028,-8.08E-12,,
,0.03,-9.58E-12,,
,0.032,-1.05E-11,,
,0.034,-1.05E-11,,
,0.036,-1.03E-11,,
,0.038,-1.03E-11,,
,0.04,-1.13E-11,,
,0.042,-1.28E-11,,
,0.044,-1.47E-11,,
,0.046,-1.62E-11,,
,0.048,-1.74E-11,,
,0.05,-1.77E-11,,
,0.052,-1.77E-11,,
,0.054,-1.74E-11,,
,0.056,-1.78E-11,,
,0.058,-1.91E-11,,
,0.06,-2.11E-11,,
,0.062,-2.27E-11,,
,0.064,-2.36E-11,,
,0.066,-2.41E-11,,
,0.068,-2.41E-11,,
,0.07,-2.39E-11,,
,0.072,-2.40E-11,,
,0.074,-2.48E-11,,
,0.076,-2.65E-11,,
,0.078,-2.80E-11,,
,0.08,-2.94E-11,,
,0.082,-2.97E-11,,
,0.084,-2.97E-11,,
,0.086,-2.89E-11,,
,0.088,-2.87E-11,,
,0.09,-2.91E-11,,
,0.092,-3.04E-11,,
,0.094,-3.20E-11,,
,0.096,-3.34E-11,,
,0.098,-3.42E-11,,
,0.1,-3.43E-11,,
,0.102,-3.38E-11,,
,0.104,-3.34E-11,,
,0.106,-3.35E-11,,
,0.108,-3.46E-11,,
,0.11,-3.60E-11,,
,0.112,-3.73E-11,,
,0.114,-3.80E-11,,
,0.116,-3.84E-11,,
,0.118,-3.80E-11,,
,0.12,-3.76E-11,,
,0.122,-3.74E-11,,
,0.124,-3.82E-11,,
,0.126,-3.94E-11,,
,0.128,-4.11E-11,,
,0.13,-4.22E-11,,
,0.132,-4.28E-11,,
,0.134,-4.26E-11,,
,0.136,-4.23E-11,,
,0.138,-4.22E-11,,
,0.14,-4.26E-11,,
,0.142,-4.40E-11,,
,0.144,-4.58E-11,,
,0.146,-4.72E-11,,
,0.148,-4.75E-11,,
,0.15,-4.74E-11,,
,0.152,-4.70E-11,,
,0.154,-4.68E-11,,
,0.156,-4.67E-11,,
,0.158,-4.76E-11,,
,0.16,-4.92E-11,,
,0.162,-5.09E-11,,
,0.164,-5.18E-11,,
,0.166,-5.19E-11,,
,0.168,-5.14E-11,,
,0.17,-5.11E-11,,
,0.172,-5.11E-11,,
,0.174,-5.19E-11,,
,0.176,-5.32E-11,,
,0.178,-5.47E-11,,
,0.18,-5.61E-11,,
,0.182,-5.68E-11,,
,0.184,-5.71E-11,,
,0.186,-5.69E-11,,
,0.188,-5.70E-11,,
,0.19,-5.78E-11,,
,0.192,-5.98E-11,,
,0.194,-6.21E-11,,
,0.196,-6.42E-11,,
,0.198,-6.54E-11,,
,0.2,-6.64E-11,,
,0.202,-6.69E-11,,
,0.204,-6.80E-11,,
,0.206,-6.96E-11,,
,0.208,-7.21E-11,,
,0.21,-7.51E-11,,
,0.212,-7.79E-11,,
,0.214,-8.02E-11,,
,0.216,-8.23E-11,,
,0.218,-8.40E-11,,
,0.22,-8.58E-11,,
,0.222,-8.81E-11,,
,0.224,-9.14E-11,,
,0.226,-9.57E-11,,
,0.228,-1.00E-10,,
,0.23,-1.05E-10,,
,0.232,-1.09E-10,,
,0.234,-1.13E-10,,
,0.236,-1.16E-10,,
,0.238,-1.20E-10,,
,0.24,-1.25E-10,,
,0.242,-1.30E-10,,
,0.244,-1.37E-10,,
,0.246,-1.43E-10,,
,0.248,-1.48E-10,,
,0.25,-1.53E-10,,
,0.252,-1.57E-10,,
,0.254,-1.61E-10,,
,0.256,-1.65E-10,,
,0.258,-1.70E-10,,
,0.26,-1.75E-10,,
,0.262,-1.80E-10,,
,0.264,-1.84E-10,,
,0.266,-1.87E-10,,
,0.268,-1.90E-10,,
,0.27,-1.91E-10,,
,0.272,-1.93E-10,,
,0.274,-1.96E-10,,
,0.276,-1.99E-10,,
,0.278,-2.01E-10,,
,0.28,-2.03E-10,,
,0.282,-2.04E-10,,
,0.284,-2.04E-10,,
,0.286,-2.03E-10,,
,0.288,-2.02E-10,,
,0.29,-2.02E-10,,
,0.292,-2.02E-10,,
,0.294,-2.02E-10,,
,0.296,-2.02E-10,,
,0.298,-2.00E-10,,
,0.3,-1.98E-10,,
,0.302,-1.96E-10,,
,0.304,-1.93E-10,,
,0.306,-1.90E-10,,
,0.308,-1.88E-10,,
,0.31,-1.87E-10,,
,0.312,-1.85E-10,,
,0.314,-1.82E-10,,
,0.316,-1.79E-10,,
,0.318,-1.75E-10,,
,0.32,-1.71E-10,,
,0.322,-1.67E-10,,
,0.324,-1.64E-10,,
,0.326,-1.61E-10,,
