5/8/2019, 11:51:30 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.001003,-1.43E-11,,
,0.003003,-2.88E-11,,
,0.005003,-4.34E-11,,
,0.007003,-4.38E-11,,
,0.009003,-4.45E-11,,
,0.011003,-4.48E-11,,
,0.013003,-4.51E-11,,
,0.015003,-4.53E-11,,
,0.017003,-4.55E-11,,
,0.019003,-4.59E-11,,
,0.021003,-4.63E-11,,
,0.023003,-4.70E-11,,
,0.025003,-4.77E-11,,
,0.027003,-4.81E-11,,
,0.029003,-4.83E-11,,
,0.031003,-4.84E-11,,
,0.033003,-4.83E-11,,
,0.035003,-4.81E-11,,
,0.037003,-4.79E-11,,
,0.039003,-4.81E-11,,
,0.041003,-4.84E-11,,
,0.043003,-4.91E-11,,
,0.045003,-4.93E-11,,
,0.047003,-4.93E-11,,
,0.049003,-4.91E-11,,
,0.051003,-4.90E-11,,
,0.053003,-4.92E-11,,
,0.055003,-4.95E-11,,
,0.057003,-4.98E-11,,
,0.059003,-4.98E-11,,
,0.061003,-4.94E-11,,
,0.063003,-4.89E-11,,
,0.065003,-4.83E-11,,
,0.067003,-4.78E-11,,
,0.069003,-4.77E-11,,
,0.071003,-4.79E-11,,
,0.073003,-4.82E-11,,
,0.075003,-4.83E-11,,
,0.077003,-4.83E-11,,
,0.079003,-4.82E-11,,
,0.081003,-4.78E-11,,
,0.083003,-4.72E-11,,
,0.085003,-4.67E-11,,
,0.087003,-4.65E-11,,
,0.089003,-4.66E-11,,
,0.091003,-4.66E-11,,
,0.093003,-4.67E-11,,
,0.095003,-4.64E-11,,
,0.097003,-4.62E-11,,
,0.099003,-4.57E-11,,
,0.101003,-4.52E-11,,
,0.103003,-4.48E-11,,
,0.105003,-4.46E-11,,
,0.107003,-4.46E-11,,
,0.109003,-4.47E-11,,
,0.111003,-4.46E-11,,
,0.113003,-4.45E-11,,
,0.115003,-4.40E-11,,
,0.117003,-4.36E-11,,
,0.119003,-4.33E-11,,
,0.121003,-4.30E-11,,
,0.123003,-4.29E-11,,
,0.125003,-4.28E-11,,
,0.127003,-4.29E-11,,
,0.129003,-4.28E-11,,
,0.131003,-4.22E-11,,
,0.133003,-4.14E-11,,
,0.135003,-4.08E-11,,
,0.137003,-4.06E-11,,
,0.139003,-4.10E-11,,
,0.141003,-4.13E-11,,
,0.143003,-4.15E-11,,
,0.145003,-4.13E-11,,
,0.147003,-4.13E-11,,
,0.149003,-4.09E-11,,
,0.151003,-4.07E-11,,
,0.153003,-4.02E-11,,
,0.155003,-4.01E-11,,
,0.157003,-4.00E-11,,
,0.159003,-4.01E-11,,
,0.161003,-4.00E-11,,
,0.163003,-3.99E-11,,
,0.165003,-3.95E-11,,
,0.167003,-3.90E-11,,
,0.169003,-3.87E-11,,
,0.171003,-3.85E-11,,
,0.173003,-3.86E-11,,
,0.175003,-3.87E-11,,
,0.177003,-3.88E-11,,
,0.179003,-3.90E-11,,
,0.181003,-3.88E-11,,
,0.183003,-3.84E-11,,
,0.185003,-3.78E-11,,
,0.187003,-3.75E-11,,
,0.189003,-3.76E-11,,
,0.191003,-3.76E-11,,
,0.193003,-3.75E-11,,
,0.195003,-3.72E-11,,
,0.197003,-3.68E-11,,
,0.199003,-3.65E-11,,
,0.201003,-3.63E-11,,
,0.203003,-3.62E-11,,
,0.205003,-3.63E-11,,
,0.207003,-3.63E-11,,
,0.209003,-3.65E-11,,
,0.211003,-3.66E-11,,
,0.213003,-3.68E-11,,
,0.215003,-3.65E-11,,
,0.217003,-3.65E-11,,
,0.219003,-3.62E-11,,
,0.221003,-3.60E-11,,
,0.223003,-3.55E-11,,
,0.225003,-3.51E-11,,
,0.227003,-3.50E-11,,
,0.229003,-3.48E-11,,
,0.231003,-3.48E-11,,
,0.233003,-3.46E-11,,
,0.235003,-3.44E-11,,
,0.237003,-3.42E-11,,
,0.239003,-3.44E-11,,
,0.241003,-3.50E-11,,
,0.243003,-3.53E-11,,
,0.245003,-3.56E-11,,
,0.247003,-3.51E-11,,
,0.249003,-3.50E-11,,
,0.251003,-3.45E-11,,
,0.253003,-3.42E-11,,
,0.255003,-3.38E-11,,
,0.257003,-3.38E-11,,
,0.259003,-3.39E-11,,
,0.261003,-3.41E-11,,
,0.263003,-3.41E-11,,
,0.265003,-3.38E-11,,
,0.267003,-3.35E-11,,
,0.269003,-3.34E-11,,
,0.271003,-3.36E-11,,
,0.273003,-3.41E-11,,
,0.275003,-3.44E-11,,
,0.277003,-3.47E-11,,
,0.279003,-3.48E-11,,
,0.281003,-3.48E-11,,
,0.283003,-3.45E-11,,
,0.285003,-3.39E-11,,
,0.287003,-3.36E-11,,
,0.289003,-3.36E-11,,
,0.291003,-3.41E-11,,
,0.293003,-3.43E-11,,
,0.295003,-3.44E-11,,
,0.297003,-3.43E-11,,
,0.299003,-3.41E-11,,
,0.301003,-3.41E-11,,
,0.303003,-3.41E-11,,
