5/8/2019, 11:18:11 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,4.79E-12,,
,0.004,1.01E-11,,
,0.006,1.54E-11,,
,0.008,1.62E-11,,
,0.01,1.64E-11,,
,0.012,1.66E-11,,
,0.014,1.64E-11,,
,0.016,1.61E-11,,
,0.018,1.59E-11,,
,0.02,1.61E-11,,
,0.022,1.64E-11,,
,0.024,1.72E-11,,
,0.026,1.75E-11,,
,0.028,1.76E-11,,
,0.03,1.69E-11,,
,0.032,1.65E-11,,
,0.034,1.64E-11,,
,0.036,1.66E-11,,
,0.038,1.74E-11,,
,0.04,1.83E-11,,
,0.042,1.92E-11,,
,0.044,1.95E-11,,
,0.046,1.91E-11,,
,0.048,1.87E-11,,
,0.05,1.81E-11,,
,0.052,1.82E-11,,
,0.054,1.84E-11,,
,0.056,1.92E-11,,
,0.058,1.98E-11,,
,0.06,2.02E-11,,
,0.062,1.96E-11,,
,0.064,1.91E-11,,
,0.066,1.88E-11,,
,0.068,1.91E-11,,
,0.07,1.93E-11,,
,0.072,1.99E-11,,
,0.074,2.07E-11,,
,0.076,2.14E-11,,
,0.078,2.18E-11,,
,0.08,2.17E-11,,
,0.082,2.11E-11,,
,0.084,2.05E-11,,
,0.086,2.05E-11,,
,0.088,2.09E-11,,
,0.09,2.17E-11,,
,0.092,2.18E-11,,
,0.094,2.18E-11,,
,0.096,2.12E-11,,
,0.098,2.08E-11,,
,0.1,2.05E-11,,
,0.102,2.05E-11,,
,0.104,2.07E-11,,
,0.106,2.11E-11,,
,0.108,2.19E-11,,
,0.11,2.22E-11,,
,0.112,2.19E-11,,
,0.114,2.10E-11,,
,0.116,2.01E-11,,
,0.118,1.94E-11,,
,0.12,1.89E-11,,
,0.122,1.87E-11,,
,0.124,1.84E-11,,
,0.126,1.81E-11,,
,0.128,1.76E-11,,
,0.13,1.67E-11,,
,0.132,1.55E-11,,
,0.134,1.47E-11,,
,0.136,1.43E-11,,
,0.138,1.43E-11,,
,0.14,1.43E-11,,
,0.142,1.38E-11,,
,0.144,1.32E-11,,
,0.146,1.20E-11,,
,0.148,1.07E-11,,
,0.15,9.53E-12,,
,0.152,7.92E-12,,
,0.154,6.95E-12,,
,0.156,6.09E-12,,
,0.158,5.99E-12,,
,0.16,5.24E-12,,
,0.162,4.05E-12,,
,0.164,2.44E-12,,
,0.166,9.41E-13,,
,0.168,-2.40E-13,,
,0.17,-1.10E-12,,
,0.172,-1.53E-12,,
,0.174,-1.85E-12,,
,0.176,-2.17E-12,,
,0.178,-3.14E-12,,
,0.18,-4.32E-12,,
,0.182,-5.82E-12,,
,0.184,-7.11E-12,,
,0.186,-8.18E-12,,
,0.188,-8.72E-12,,
,0.19,-9.15E-12,,
,0.192,-9.58E-12,,
,0.194,-1.05E-11,,
,0.196,-1.17E-11,,
,0.198,-1.32E-11,,
,0.2,-1.46E-11,,
,0.202,-1.56E-11,,
,0.204,-1.65E-11,,
,0.206,-1.67E-11,,
,0.208,-1.70E-11,,
,0.21,-1.76E-11,,
,0.212,-1.90E-11,,
,0.214,-2.05E-11,,
,0.216,-2.19E-11,,
,0.218,-2.31E-11,,
,0.22,-2.40E-11,,
,0.222,-2.46E-11,,
,0.224,-2.50E-11,,
,0.226,-2.59E-11,,
,0.228,-2.69E-11,,
,0.23,-2.84E-11,,
,0.232,-2.98E-11,,
,0.234,-3.09E-11,,
,0.236,-3.17E-11,,
,0.238,-3.22E-11,,
,0.24,-3.28E-11,,
,0.242,-3.34E-11,,
,0.244,-3.43E-11,,
,0.246,-3.57E-11,,
,0.248,-3.73E-11,,
,0.25,-3.90E-11,,
,0.252,-4.03E-11,,
,0.254,-4.11E-11,,
,0.256,-4.20E-11,,
,0.258,-4.28E-11,,
,0.26,-4.36E-11,,
,0.262,-4.49E-11,,
,0.264,-4.63E-11,,
,0.266,-4.79E-11,,
,0.268,-4.92E-11,,
,0.27,-5.04E-11,,
,0.272,-5.14E-11,,
,0.274,-5.20E-11,,
,0.276,-5.31E-11,,
,0.278,-5.43E-11,,
,0.28,-5.61E-11,,
,0.282,-5.77E-11,,
,0.284,-5.92E-11,,
,0.286,-6.07E-11,,
,0.288,-6.16E-11,,
,0.29,-6.24E-11,,
,0.292,-6.32E-11,,
,0.294,-6.44E-11,,
,0.296,-6.62E-11,,
,0.298,-6.80E-11,,
,0.3,-6.97E-11,,
,0.302,-7.11E-11,,
,0.304,-7.21E-11,,
,0.306,-7.26E-11,,
,0.308,-7.32E-11,,
,0.31,-7.43E-11,,
,0.312,-7.57E-11,,
,0.314,-7.72E-11,,
,0.316,-7.86E-11,,
,0.318,-7.99E-11,,
,0.32,-8.08E-11,,
,0.322,-8.13E-11,,
,0.324,-8.16E-11,,
,0.326,-8.20E-11,,
,0.328,-8.28E-11,,
,0.33,-8.39E-11,,
,0.332,-8.53E-11,,
,0.334,-8.63E-11,,
,0.336,-8.71E-11,,
