5/8/2019, 5:25:35 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,3.28E-12,,
,0.004,6.25E-12,,
,0.006,9.10E-12,,
,0.008,8.35E-12,,
,0.01,7.81E-12,,
,0.012,7.70E-12,,
,0.014,8.24E-12,,
,0.016,9.42E-12,,
,0.018,1.05E-11,,
,0.02,1.11E-11,,
,0.022,1.08E-11,,
,0.024,9.96E-12,,
,0.026,8.89E-12,,
,0.028,8.46E-12,,
,0.03,8.89E-12,,
,0.032,1.02E-11,,
,0.034,1.16E-11,,
,0.036,1.25E-11,,
,0.038,1.24E-11,,
,0.04,1.16E-11,,
,0.042,1.05E-11,,
,0.044,1.01E-11,,
,0.046,1.01E-11,,
,0.048,1.08E-11,,
,0.05,1.19E-11,,
,0.052,1.32E-11,,
,0.054,1.33E-11,,
,0.056,1.24E-11,,
,0.058,1.09E-11,,
,0.06,9.96E-12,,
,0.062,9.64E-12,,
,0.064,1.02E-11,,
,0.066,1.11E-11,,
,0.068,1.24E-11,,
,0.07,1.29E-11,,
,0.072,1.25E-11,,
,0.074,1.14E-11,,
,0.076,1.06E-11,,
,0.078,1.01E-11,,
,0.08,1.03E-11,,
,0.082,1.09E-11,,
,0.084,1.17E-11,,
,0.086,1.20E-11,,
,0.088,1.14E-11,,
,0.09,1.01E-11,,
,0.092,8.46E-12,,
,0.094,7.27E-12,,
,0.096,7.27E-12,,
,0.098,7.92E-12,,
,0.1,9.10E-12,,
,0.102,9.42E-12,,
,0.104,9.31E-12,,
,0.106,8.13E-12,,
,0.108,6.95E-12,,
,0.11,5.88E-12,,
,0.112,5.45E-12,,
,0.114,5.88E-12,,
,0.116,6.74E-12,,
,0.118,7.38E-12,,
,0.12,7.17E-12,,
,0.122,6.09E-12,,
,0.124,4.48E-12,,
,0.126,2.98E-12,,
,0.128,1.91E-12,,
,0.13,1.80E-12,,
,0.132,2.44E-12,,
,0.134,3.41E-12,,
,0.136,4.05E-12,,
,0.138,3.62E-12,,
,0.14,2.34E-12,,
,0.142,9.41E-13,,
,0.144,8.20E-14,,
,0.146,-2.53E-14,,
,0.148,2.97E-13,,
,0.15,8.34E-13,,
,0.152,1.26E-12,,
,0.154,1.05E-12,,
,0.156,-2.40E-13,,
,0.158,-2.07E-12,,
,0.16,-3.68E-12,,
,0.162,-4.32E-12,,
,0.164,-4.10E-12,,
,0.166,-3.14E-12,,
,0.168,-2.39E-12,,
,0.17,-2.28E-12,,
,0.172,-3.46E-12,,
,0.174,-4.86E-12,,
,0.176,-6.25E-12,,
,0.178,-7.11E-12,,
,0.18,-7.11E-12,,
,0.182,-6.57E-12,,
,0.184,-5.50E-12,,
,0.186,-4.96E-12,,
,0.188,-5.50E-12,,
,0.19,-7.00E-12,,
,0.192,-8.61E-12,,
,0.194,-9.69E-12,,
,0.196,-9.69E-12,,
,0.198,-9.15E-12,,
,0.2,-7.97E-12,,
,0.202,-7.33E-12,,
,0.204,-7.33E-12,,
,0.206,-8.29E-12,,
,0.208,-9.58E-12,,
,0.21,-1.07E-11,,
,0.212,-1.09E-11,,
,0.214,-1.07E-11,,
,0.216,-9.79E-12,,
,0.218,-8.94E-12,,
,0.22,-8.40E-12,,
,0.222,-8.94E-12,,
,0.224,-1.00E-11,,
,0.226,-1.12E-11,,
,0.228,-1.18E-11,,
,0.23,-1.17E-11,,
,0.232,-1.07E-11,,
,0.234,-9.58E-12,,
,0.236,-9.04E-12,,
,0.238,-9.47E-12,,
,0.24,-1.05E-11,,
,0.242,-1.18E-11,,
,0.244,-1.27E-11,,
,0.246,-1.28E-11,,
,0.248,-1.20E-11,,
,0.25,-1.12E-11,,
,0.252,-1.04E-11,,
,0.254,-1.08E-11,,
,0.256,-1.18E-11,,
,0.258,-1.33E-11,,
,0.26,-1.45E-11,,
,0.262,-1.46E-11,,
,0.264,-1.42E-11,,
,0.266,-1.30E-11,,
,0.268,-1.22E-11,,
,0.27,-1.17E-11,,
,0.272,-1.20E-11,,
,0.274,-1.32E-11,,
,0.276,-1.44E-11,,
,0.278,-1.52E-11,,
,0.28,-1.49E-11,,
,0.282,-1.41E-11,,
,0.284,-1.31E-11,,
,0.286,-1.24E-11,,
,0.288,-1.26E-11,,
,0.29,-1.37E-11,,
,0.292,-1.47E-11,,
,0.294,-1.52E-11,,
,0.296,-1.48E-11,,
,0.298,-1.40E-11,,
,0.3,-1.27E-11,,
,0.302,-1.15E-11,,
,0.304,-1.10E-11,,
,0.306,-1.15E-11,,
,0.308,-1.24E-11,,
,0.31,-1.31E-11,,
,0.312,-1.31E-11,,
,0.314,-1.23E-11,,
,0.316,-1.09E-11,,
,0.318,-9.69E-12,,
,0.32,-9.37E-12,,
,0.322,-1.01E-11,,
,0.324,-1.14E-11,,
,0.326,-1.22E-11,,
,0.328,-1.24E-11,,
,0.33,-1.16E-11,,
,0.332,-1.08E-11,,
,0.334,-9.69E-12,,
