5/8/2019, 4:56:49 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-2.26E-11,,
,0.004,-4.50E-11,,
,0.006,-6.74E-11,,
,0.008,-6.78E-11,,
,0.01,-6.85E-11,,
,0.012,-6.95E-11,,
,0.014,-6.96E-11,,
,0.016,-6.91E-11,,
,0.018,-6.79E-11,,
,0.02,-6.67E-11,,
,0.022,-6.59E-11,,
,0.024,-6.60E-11,,
,0.026,-6.68E-11,,
,0.028,-6.77E-11,,
,0.03,-6.79E-11,,
,0.032,-6.76E-11,,
,0.034,-6.67E-11,,
,0.036,-6.57E-11,,
,0.038,-6.51E-11,,
,0.04,-6.51E-11,,
,0.042,-6.58E-11,,
,0.044,-6.68E-11,,
,0.046,-6.72E-11,,
,0.048,-6.69E-11,,
,0.05,-6.58E-11,,
,0.052,-6.47E-11,,
,0.054,-6.38E-11,,
,0.056,-6.35E-11,,
,0.058,-6.39E-11,,
,0.06,-6.45E-11,,
,0.062,-6.53E-11,,
,0.064,-6.54E-11,,
,0.066,-6.50E-11,,
,0.068,-6.40E-11,,
,0.07,-6.32E-11,,
,0.072,-6.25E-11,,
,0.074,-6.26E-11,,
,0.076,-6.33E-11,,
,0.078,-6.42E-11,,
,0.08,-6.47E-11,,
,0.082,-6.43E-11,,
,0.084,-6.34E-11,,
,0.086,-6.23E-11,,
,0.088,-6.15E-11,,
,0.09,-6.16E-11,,
,0.092,-6.22E-11,,
,0.094,-6.30E-11,,
,0.096,-6.35E-11,,
,0.098,-6.37E-11,,
,0.1,-6.32E-11,,
,0.102,-6.22E-11,,
,0.104,-6.11E-11,,
,0.106,-6.08E-11,,
,0.108,-6.14E-11,,
,0.11,-6.25E-11,,
,0.112,-6.34E-11,,
,0.114,-6.33E-11,,
,0.116,-6.26E-11,,
,0.118,-6.16E-11,,
,0.12,-6.08E-11,,
,0.122,-6.04E-11,,
,0.124,-6.07E-11,,
,0.126,-6.15E-11,,
,0.128,-6.25E-11,,
,0.13,-6.29E-11,,
,0.132,-6.28E-11,,
,0.134,-6.21E-11,,
,0.136,-6.11E-11,,
,0.138,-6.06E-11,,
,0.14,-6.10E-11,,
,0.142,-6.20E-11,,
,0.144,-6.29E-11,,
,0.146,-6.34E-11,,
,0.148,-6.34E-11,,
,0.15,-6.27E-11,,
,0.152,-6.15E-11,,
,0.154,-6.08E-11,,
,0.156,-6.07E-11,,
,0.158,-6.15E-11,,
,0.16,-6.22E-11,,
,0.162,-6.29E-11,,
,0.164,-6.30E-11,,
,0.166,-6.28E-11,,
,0.168,-6.21E-11,,
,0.17,-6.12E-11,,
,0.172,-6.09E-11,,
,0.174,-6.11E-11,,
,0.176,-6.20E-11,,
,0.178,-6.27E-11,,
,0.18,-6.30E-11,,
,0.182,-6.28E-11,,
,0.184,-6.21E-11,,
,0.186,-6.11E-11,,
,0.188,-6.00E-11,,
,0.19,-5.96E-11,,
,0.192,-5.98E-11,,
,0.194,-6.07E-11,,
,0.196,-6.13E-11,,
,0.198,-6.13E-11,,
,0.2,-6.05E-11,,
,0.202,-5.96E-11,,
,0.204,-5.86E-11,,
,0.206,-5.83E-11,,
,0.208,-5.83E-11,,
,0.21,-5.91E-11,,
,0.212,-5.97E-11,,
,0.214,-5.96E-11,,
,0.216,-5.90E-11,,
,0.218,-5.77E-11,,
,0.22,-5.65E-11,,
,0.222,-5.55E-11,,
,0.224,-5.54E-11,,
,0.226,-5.57E-11,,
,0.228,-5.63E-11,,
,0.23,-5.64E-11,,
,0.232,-5.61E-11,,
,0.234,-5.52E-11,,
,0.236,-5.40E-11,,
,0.238,-5.33E-11,,
,0.24,-5.27E-11,,
,0.242,-5.31E-11,,
,0.244,-5.34E-11,,
,0.246,-5.36E-11,,
,0.248,-5.32E-11,,
,0.25,-5.22E-11,,
,0.252,-5.09E-11,,
,0.254,-4.95E-11,,
,0.256,-4.86E-11,,
,0.258,-4.84E-11,,
,0.26,-4.89E-11,,
,0.262,-4.93E-11,,
,0.264,-4.92E-11,,
,0.266,-4.84E-11,,
,0.268,-4.72E-11,,
,0.27,-4.60E-11,,
,0.272,-4.51E-11,,
,0.274,-4.49E-11,,
,0.276,-4.52E-11,,
,0.278,-4.57E-11,,
,0.28,-4.58E-11,,
,0.282,-4.48E-11,,
,0.284,-4.35E-11,,
,0.286,-4.17E-11,,
,0.288,-4.02E-11,,
,0.29,-3.94E-11,,
,0.292,-3.99E-11,,
,0.294,-4.05E-11,,
,0.296,-4.07E-11,,
,0.298,-4.02E-11,,
,0.3,-3.93E-11,,
,0.302,-3.80E-11,,
,0.304,-3.70E-11,,
,0.306,-3.63E-11,,
,0.308,-3.66E-11,,
,0.31,-3.73E-11,,
,0.312,-3.79E-11,,
,0.314,-3.76E-11,,
,0.316,-3.67E-11,,
,0.318,-3.55E-11,,
,0.32,-3.41E-11,,
,0.322,-3.31E-11,,
,0.324,-3.29E-11,,
