5/15/2019, 11:08:14 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.001001,1.63E-10,,
,0.003001,3.25E-10,,
,0.005001,4.87E-10,,
,0.007001,4.84E-10,,
,0.009001,4.81E-10,,
,0.011001,4.78E-10,,
,0.013001,4.76E-10,,
,0.015001,4.73E-10,,
,0.017001,4.70E-10,,
,0.019001,4.66E-10,,
,0.021001,4.62E-10,,
,0.023001,4.59E-10,,
,0.025001,4.55E-10,,
,0.027001,4.51E-10,,
,0.029001,4.47E-10,,
,0.031001,4.43E-10,,
,0.033001,4.39E-10,,
,0.035001,4.34E-10,,
,0.037001,4.30E-10,,
,0.039001,4.25E-10,,
,0.041001,4.20E-10,,
,0.043001,4.16E-10,,
,0.045001,4.12E-10,,
,0.047001,4.07E-10,,
,0.049001,4.02E-10,,
,0.051001,3.96E-10,,
,0.053001,3.91E-10,,
,0.055001,3.85E-10,,
,0.057001,3.79E-10,,
,0.059001,3.73E-10,,
,0.061001,3.68E-10,,
,0.063001,3.62E-10,,
,0.065001,3.57E-10,,
,0.067001,3.52E-10,,
,0.069001,3.46E-10,,
,0.071001,3.39E-10,,
,0.073001,3.33E-10,,
,0.075001,3.28E-10,,
,0.077001,3.22E-10,,
,0.079001,3.17E-10,,
,0.081001,3.11E-10,,
,0.083001,3.05E-10,,
,0.085001,2.99E-10,,
,0.087001,2.93E-10,,
,0.089001,2.87E-10,,
,0.091001,2.82E-10,,
,0.093001,2.77E-10,,
,0.095001,2.71E-10,,
,0.097001,2.67E-10,,
,0.099001,2.62E-10,,
,0.101001,2.56E-10,,
,0.103001,2.51E-10,,
,0.105001,2.46E-10,,
,0.107001,2.41E-10,,
,0.109001,2.37E-10,,
,0.111001,2.32E-10,,
,0.113001,2.28E-10,,
,0.115001,2.23E-10,,
,0.117001,2.18E-10,,
,0.119001,2.14E-10,,
,0.121001,2.09E-10,,
,0.123001,2.04E-10,,
,0.125001,2.00E-10,,
,0.127001,1.97E-10,,
,0.129001,1.93E-10,,
,0.131001,1.90E-10,,
,0.133001,1.86E-10,,
,0.135001,1.82E-10,,
,0.137001,1.78E-10,,
,0.139001,1.74E-10,,
,0.141001,1.70E-10,,
,0.143001,1.67E-10,,
,0.145001,1.64E-10,,
,0.147001,1.62E-10,,
,0.149001,1.58E-10,,
,0.151001,1.55E-10,,
,0.153001,1.51E-10,,
,0.155001,1.48E-10,,
,0.157001,1.45E-10,,
,0.159001,1.42E-10,,
,0.161001,1.40E-10,,
,0.163001,1.37E-10,,
,0.165001,1.35E-10,,
,0.167001,1.33E-10,,
,0.169001,1.30E-10,,
,0.171001,1.27E-10,,
,0.173001,1.24E-10,,
,0.175001,1.22E-10,,
,0.177001,1.20E-10,,
,0.179001,1.18E-10,,
,0.181001,1.16E-10,,
,0.183001,1.14E-10,,
,0.185001,1.12E-10,,
,0.187001,1.09E-10,,
,0.189001,1.07E-10,,
,0.191001,1.05E-10,,
,0.193001,1.03E-10,,
,0.195001,1.02E-10,,
,0.197001,1.01E-10,,
,0.199001,1.00E-10,,
,0.201001,9.85E-11,,
,0.203001,9.67E-11,,
,0.205001,9.47E-11,,
,0.207001,9.31E-11,,
,0.209001,9.17E-11,,
,0.211001,9.05E-11,,
,0.213001,8.95E-11,,
,0.215001,8.88E-11,,
,0.217001,8.79E-11,,
,0.219001,8.69E-11,,
,0.221001,8.58E-11,,
,0.223001,8.48E-11,,
,0.225001,8.42E-11,,
,0.227001,8.40E-11,,
,0.229001,8.39E-11,,
,0.231001,8.36E-11,,
,0.233001,8.32E-11,,
,0.235001,8.23E-11,,
,0.237001,8.10E-11,,
,0.239001,7.98E-11,,
,0.241001,7.93E-11,,
,0.243001,7.93E-11,,
,0.245001,7.94E-11,,
,0.247001,7.95E-11,,
,0.249001,7.93E-11,,
,0.251001,7.86E-11,,
,0.253001,7.73E-11,,
,0.255001,7.63E-11,,
,0.257001,7.59E-11,,
,0.259001,7.58E-11,,
,0.261001,7.57E-11,,
,0.263001,7.52E-11,,
,0.265001,7.47E-11,,
,0.267001,7.38E-11,,
,0.269001,7.28E-11,,
,0.271001,7.12E-11,,
,0.273001,6.94E-11,,
,0.275001,6.79E-11,,
,0.277001,6.70E-11,,
,0.279001,6.62E-11,,
,0.281001,6.52E-11,,
,0.283001,6.40E-11,,
,0.285001,6.25E-11,,
,0.287001,6.10E-11,,
,0.289001,5.96E-11,,
,0.291001,5.81E-11,,
,0.293001,5.68E-11,,
,0.295001,5.54E-11,,
,0.297001,5.40E-11,,
,0.299001,5.24E-11,,
,0.301001,5.02E-11,,
,0.303001,4.79E-11,,
,0.305001,4.54E-11,,
,0.307001,4.32E-11,,
,0.309001,4.16E-11,,
,0.311001,4.01E-11,,
,0.313001,3.89E-11,,
,0.315001,3.78E-11,,
,0.317001,3.63E-11,,
,0.319001,3.47E-11,,
,0.321001,3.24E-11,,
,0.323001,3.05E-11,,
