5/15/2019, 5:52:00 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,6.68E-11,,
,0.004,1.34E-10,,
,0.006,2.01E-10,,
,0.008,2.01E-10,,
,0.01,2.00E-10,,
,0.012,1.99E-10,,
,0.014,1.98E-10,,
,0.016,1.97E-10,,
,0.018,1.95E-10,,
,0.02,1.95E-10,,
,0.022,1.95E-10,,
,0.024,1.95E-10,,
,0.026,1.95E-10,,
,0.028,1.95E-10,,
,0.03,1.94E-10,,
,0.032,1.92E-10,,
,0.034,1.91E-10,,
,0.036,1.90E-10,,
,0.038,1.90E-10,,
,0.04,1.90E-10,,
,0.042,1.90E-10,,
,0.044,1.90E-10,,
,0.046,1.89E-10,,
,0.048,1.88E-10,,
,0.05,1.87E-10,,
,0.052,1.86E-10,,
,0.054,1.86E-10,,
,0.056,1.86E-10,,
,0.058,1.86E-10,,
,0.06,1.86E-10,,
,0.062,1.85E-10,,
,0.064,1.84E-10,,
,0.066,1.83E-10,,
,0.068,1.82E-10,,
,0.07,1.82E-10,,
,0.072,1.81E-10,,
,0.074,1.82E-10,,
,0.076,1.82E-10,,
,0.078,1.81E-10,,
,0.08,1.80E-10,,
,0.082,1.79E-10,,
,0.084,1.78E-10,,
,0.086,1.77E-10,,
,0.088,1.77E-10,,
,0.09,1.78E-10,,
,0.092,1.78E-10,,
,0.094,1.78E-10,,
,0.096,1.78E-10,,
,0.098,1.77E-10,,
,0.1,1.76E-10,,
,0.102,1.75E-10,,
,0.104,1.75E-10,,
,0.106,1.75E-10,,
,0.108,1.75E-10,,
,0.11,1.76E-10,,
,0.112,1.75E-10,,
,0.114,1.74E-10,,
,0.116,1.73E-10,,
,0.118,1.72E-10,,
,0.12,1.72E-10,,
,0.122,1.72E-10,,
,0.124,1.72E-10,,
,0.126,1.72E-10,,
,0.128,1.72E-10,,
,0.13,1.71E-10,,
,0.132,1.71E-10,,
,0.134,1.70E-10,,
,0.136,1.70E-10,,
,0.138,1.70E-10,,
,0.14,1.70E-10,,
,0.142,1.70E-10,,
,0.144,1.70E-10,,
,0.146,1.70E-10,,
,0.148,1.69E-10,,
,0.15,1.67E-10,,
,0.152,1.67E-10,,
,0.154,1.67E-10,,
,0.156,1.67E-10,,
,0.158,1.68E-10,,
,0.16,1.68E-10,,
,0.162,1.68E-10,,
,0.164,1.67E-10,,
,0.166,1.66E-10,,
,0.168,1.66E-10,,
,0.17,1.66E-10,,
,0.172,1.66E-10,,
,0.174,1.67E-10,,
,0.176,1.67E-10,,
,0.178,1.67E-10,,
,0.18,1.66E-10,,
,0.182,1.66E-10,,
,0.184,1.65E-10,,
,0.186,1.64E-10,,
,0.188,1.65E-10,,
,0.19,1.65E-10,,
,0.192,1.66E-10,,
,0.194,1.66E-10,,
,0.196,1.66E-10,,
,0.198,1.65E-10,,
,0.2,1.65E-10,,
,0.202,1.64E-10,,
,0.204,1.64E-10,,
,0.206,1.65E-10,,
,0.208,1.65E-10,,
,0.21,1.66E-10,,
,0.212,1.65E-10,,
,0.214,1.65E-10,,
,0.216,1.64E-10,,
,0.218,1.64E-10,,
,0.22,1.63E-10,,
,0.222,1.64E-10,,
,0.224,1.65E-10,,
,0.226,1.65E-10,,
,0.228,1.65E-10,,
,0.23,1.65E-10,,
,0.232,1.65E-10,,
,0.234,1.64E-10,,
,0.236,1.64E-10,,
,0.238,1.65E-10,,
,0.24,1.65E-10,,
,0.242,1.66E-10,,
,0.244,1.66E-10,,
,0.246,1.66E-10,,
,0.248,1.66E-10,,
,0.25,1.65E-10,,
,0.252,1.64E-10,,
,0.254,1.64E-10,,
,0.256,1.65E-10,,
,0.258,1.66E-10,,
,0.26,1.67E-10,,
,0.262,1.67E-10,,
,0.264,1.66E-10,,
,0.266,1.66E-10,,
,0.268,1.65E-10,,
,0.27,1.65E-10,,
,0.272,1.66E-10,,
,0.274,1.66E-10,,
,0.276,1.67E-10,,
,0.278,1.66E-10,,
,0.28,1.66E-10,,
,0.282,1.65E-10,,
,0.284,1.64E-10,,
,0.286,1.64E-10,,
,0.288,1.64E-10,,
,0.29,1.65E-10,,
,0.292,1.66E-10,,
,0.294,1.66E-10,,
,0.296,1.66E-10,,
,0.298,1.65E-10,,
,0.3,1.64E-10,,
,0.302,1.63E-10,,
,0.304,1.63E-10,,
,0.306,1.63E-10,,
,0.308,1.64E-10,,
,0.31,1.65E-10,,
,0.312,1.65E-10,,
,0.314,1.64E-10,,
,0.316,1.63E-10,,
,0.318,1.63E-10,,
,0.32,1.63E-10,,
,0.322,1.63E-10,,
,0.324,1.65E-10,,
,0.326,1.65E-10,,
,0.328,1.66E-10,,
,0.33,1.65E-10,,
,0.332,1.64E-10,,
,0.334,1.64E-10,,
,0.336,1.64E-10,,
,0.338,1.64E-10,,
,0.34,1.65E-10,,
,0.342,1.65E-10,,
,0.344,1.66E-10,,
,0.346,1.65E-10,,
,0.348,1.65E-10,,
