,Task,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_DFA_alpha1_ExpRange,HRV_DFA_alpha1_ExpMean,HRV_DFA_alpha1_DimRange,HRV_DFA_alpha1_DimMean,HRV_DFA_alpha2,HRV_DFA_alpha2_ExpRange,HRV_DFA_alpha2_ExpMean,HRV_DFA_alpha2_DimRange,HRV_DFA_alpha2_DimMean,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSE,HRV_CMSE,HRV_RCMSE,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC
1,ACC-1,65.4723061202686,973.5131578947369,892.5004065268907,555.8348684477277,826.5010732856973,508.24960876066496,933.0358108126256,,,1085.2453330777485,1086.4379111804649,0.9167830956254976,1.1147721263723205,703.0,407.715,0.5799644381223328,620.0,88.37719298245614,95.17543859649122,41.45454545454545,125.0,,0.02125279445477062,0.047153359605570336,0.007486751618465192,0.00026158299195344116,6.298240145869421,0.6191803060937027,0.09831005038761186,-4.894620271325272,768.2276143338547,1002.3836682365146,0.7664007691639583,2419211.1131978077,1.3048003606401226,7.090643878818204,5231.642287259093,0.6030701754385965,0.6065934065934065,0.8586956521739131,0.16129032258064516,50.17323995576854,50.457435409742544,49.768228295090054,47.91208791208791,0.4871816438061597,0.5128183561938401,536.2115435005664,550.1390613146289,0.5677960348098781,0.432203965190122,755.3185657069107,658.9892887185242,0.5379664487642004,0.46203355123579976,654.9919675403679,607.0090071118746,0.7204763626526534,2.4334159863540226,1.2737332224329008,1.70560596688904,-0.08080626336404437,0.6219941131648643,0.5601916297484631,0.6711026116116134,0.5342266194073919,0.7359599378142581,1.1362487244244925,1.0986122886681096,8.215067776168338,0.9405627100877415,0.7679478727187607,0.916925592133038,0.8825413937722836,0.6676519361047922,1.993667214681605,2.5797564584395403,1.0653705060944314
2,ACC-3,55.679491318762125,1182.206611570248,1792.0933790196957,673.1270393812368,1858.4219296780113,,,,,2400.2732382496083,2405.260800782048,1.5158884762447529,2.0303331200808308,683.0,315.7938,0.46236281112737915,502.0,85.12396694214877,90.9090909090909,24.2,148.4375,,0.014543778657974463,0.0152996810099353,0.0005668000996421238,1.011662707811084e-05,26.993081016738497,0.5029418706547003,0.018632251366297328,-7.475503874350086,1700.7762227551716,1884.8770575270157,0.9023274043064714,10071173.474039359,1.108245183762982,7.710050186633388,8355.623683958625,0.6487603305785123,0.6556016597510373,0.8860759493670886,0.22413793103448276,50.29128822910987,50.97981789681957,49.545834971064565,47.71784232365145,0.4906322665546783,0.5093677334453218,1191.3150786700664,1213.8479826568068,0.5020810976207964,0.4979189023792038,1335.5801752596226,1330.0327505160078,0.4969429439165507,0.5030570560834493,1265.505041715202,1273.2662805645127,0.6544300971204274,4.402827365892537,2.110119530526317,3.8836807724956626,-0.8120247757134311,0.5299156603518171,0.6266931200161683,0.5096647197109907,1.6948952023613069,1.2200036372516856,0.6928041467134338,0.5503612231692171,7.539217357188121,0.5664733798200524,0.2724110129373108,0.6678841086713858,0.6579630514931614,0.3109438557280373,2.020587667193092,2.092905538863628,1.11256756226172
3,ACC-no task,92.67887810406292,680.6731707317073,546.3051928113981,71.98204910807192,521.8757177081504,35.61187385996334,557.6778239214228,,,701.9412635393957,702.5123779651989,0.8025954544735959,1.0312456751965495,458.0,133.434,0.2913406113537118,386.0,75.1219512195122,89.43089430894308,21.964285714285715,156.25,,0.01487658467744799,0.05107157306068961,0.01936207797845812,0.0010877240405118144,2.63771136122429,0.5911201283487276,0.22410341671135697,-3.9444388692955012,496.75126632667906,592.0794650530403,0.8389942493313437,923993.3687177378,1.1919032827662093,6.6726389643641175,2822.805832220719,0.6634146341463415,0.6655791190864601,0.9068627450980392,0.21935483870967742,49.8323335130763,49.96023880546643,49.951324697066916,50.57096247960848,0.5018729318815249,0.498127068118475,351.9140531659125,350.5982907842188,0.479611579582214,0.5203884204177861,410.03868194242386,427.11400380743095,0.4888080967161404,0.5111919032838597,382.0832510754305,390.7336264958711,0.7130374742101503,3.351414847183607,1.834875827051416,2.7284326926572597,-0.25104322635574305,0.6664753474653782,0.6252296265672839,0.712742139722204,0.7935492558479229,0.7668789779323545,1.0547561674363948,0.7544153665426305,7.790234630730491,0.8647898805543122,0.7737670158824761,0.935076367388087,0.8910193961370703,0.5282548306470782,1.9856986488636188,2.605816720954852,1.0544894016518083
4,lane-1,53.11843083775917,1244.536398467433,1120.9350439291823,243.4717703214804,1165.5561583487502,53.7849662274396,1135.6818749464665,,,1583.8899971516087,1586.9446649792078,0.9006848215203205,1.2726747077080816,992.0,581.1791999999999,0.585866129032258,792.0,91.57088122605363,95.40229885057471,43.5,54.6875,,0.018280210058487654,0.04767788687867703,0.021788010857307263,0.00039364069267009246,2.1882624894455116,0.5409351364967004,0.247198468696399,-3.8263954211449134,1122.1393339746114,1123.27683401161,0.9989873377581053,3959893.0887716967,1.0010136887662333,7.304653570740009,4497.661948478471,0.6819923371647509,0.6872586872586873,0.9101123595505618,0.2459016393442623,49.97193593258117,49.617395878115886,50.07625713947903,50.965250965250966,0.5046346850415264,0.4953653149584737,797.1413888529398,789.7863207427895,0.47084093762781865,0.5291590623721817,770.7684161289604,817.1088633255665,0.4877206927936427,0.5122793072063573,784.0657960669947,803.5637270800717,0.6877667094243322,3.67360550196973,2.0672379292264584,3.627700775852249,-0.46709560810624906,0.6927526202206234,0.56304688709725,0.6635260195918079,1.3141866753716962,0.7887128158332475,1.2134156439111594,1.4826318796367968,7.728041389265325,1.0901868354629178,0.7181696475938095,1.0605446609341231,1.0103939200451364,0.9088423738551568,1.9937935330002394,2.5965479950997694,1.168813899883738
5,lane-3,59.27010947080542,1094.9322709163346,758.6817457896442,234.76927554768517,755.3458467848952,,,,,1019.4998852378552,1021.540878206736,0.6929028999708935,0.9311077153517898,856.0,518.91,0.6062032710280374,772.0,94.82071713147411,96.81274900398407,35.857142857142854,101.5625,,0.012268385581130272,0.07400559800050947,0.04608488403939638,0.0013435247983047637,1.605854056988505,0.5535099010674404,0.34468256854265467,-3.077270277772801,722.3384822392441,795.6011341284689,0.9079153501088464,1805452.2986519937,1.1014242681105832,6.963556128503707,3505.177587461595,0.6733067729083665,0.6799999999999999,0.9117647058823529,0.19047619047619047,50.20479548660084,49.886286184263575,50.143510432486806,52.0,0.5072030093755429,0.4927969906244571,514.4384547200754,507.0800654443875,0.49102438808090687,0.5089756119190931,557.5026358928448,567.6019517223633,0.498334692328756,0.5016653076712441,536.4028862348938,538.1924230097077,0.6233217592775151,1.755468210877927,1.0442693521220234,1.2654960270894196,0.27039405909658526,0.688093101497647,0.5309095510567685,0.8007022537360813,0.46221176997078084,0.7574476821718181,1.1044019508594372,1.5395517849699338,7.650709589755628,1.3131635074697634,0.7520210610816991,1.4911150096704062,1.7748443113349333,1.1370367056447233,2.0012076194281696,3.069546983250493,1.1433289559451305
6,lane-no task,32.84041565598403,2157.160621761658,2586.098883957832,574.8641468891814,2632.6336289779015,115.5849229228851,2644.151486170092,,,3670.034062625759,3679.625951268985,1.1988439144813792,1.7013262830788203,1106.0,773.9172,0.6997443037974683,1810.0,95.85492227979275,98.96373056994818,48.25,93.75,,0.012372574744797816,0.021449663044158088,0.0006333830250808469,9.592181264324049e-06,33.86523192884778,0.6223568978692369,0.018377458603467824,-7.36443522390176,2601.8884623722997,2580.9935581724453,1.0080956824296181,21097231.509135846,0.9919693313137631,8.031195578567976,10241.065816101804,0.6528497409326425,0.6614583333333334,0.8976377952755905,0.25,50.107975778796344,51.09118666115852,50.02062393642757,46.35416666666667,0.4980700967611325,0.5019299032388678,1836.2603728959743,1843.3617139283767,0.5153368747878181,0.4846631252121819,1852.8170148776617,1796.8296682511364,0.5066338684957635,0.4933661315042363,1844.5572704158892,1820.2443881364463,0.7286108730647358,2.953908550975117,1.6836168376218974,1.7652038514470612,0.08702912863476922,0.8564060012573675,0.3906909617872065,0.6978381398980543,1.1494138578263513,1.1717453358546088,0.9104565526415715,0.9012747074176912,7.381291817049616,0.9416153768492208,0.0,1.194141952791316,1.1423053203449087,0.6869892006229726,1.9884790520429048,2.5834794015315925,1.062157202104861
7,manual-1,92.92721741378422,676.0302457466919,425.34460074919554,55.45200166104831,410.1679269686949,49.553348744254095,422.3601264025959,,,571.8551416489171,572.3971883726998,0.6291798383656519,0.8459017111243139,526.0,195.70319999999998,0.37205931558935357,378.0,82.79773156899812,93.57277882797732,22.041666666666668,140.625,,0.022413047747839525,0.04355067571306129,0.03231915413121449,0.003137983347023035,1.3475190450915657,0.42940550208103256,0.3186637722451291,-3.432095217354447,404.7459334304496,445.06574919091366,0.9094070576453893,565921.951887437,1.0996175932361592,6.4597266503340816,1957.6085118286421,0.6748582230623819,0.6768060836501901,0.9213483146067416,0.23703703703703705,50.0743019799908,49.86651608232479,50.48180213506289,50.38022813688213,0.5130290872422674,0.48697091275773285,289.90364819572665,282.4451987954135,0.5126130620170333,0.4873869379829665,318.6537310116696,310.7142108356356,0.5128013804923803,0.48719861950761956,304.61806046658586,296.91632755524955,0.6236159434586196,3.290418364419087,1.553634220791219,2.9446526774300383,-0.47050022889537085,0.6427207530883576,0.5496866098653208,0.5302093459069415,1.2309634277959733,0.6611483036601973,1.3028723114970426,1.291974317300595,7.830182041301966,1.1517636553288768,1.0163871611571949,1.0571326759937036,1.0147996750808992,0.7463673983038405,1.9840909150318513,2.739029255321759,1.060343445276124
8,manual-3,84.26745337777699,746.7146529562982,499.03047581274245,74.13963439922078,492.4210412553822,,,,,634.6112211912548,635.4301686999662,0.6683014372853728,0.8498711237000404,630.0,296.52,0.4706666666666666,420.0,85.8611825192802,94.60154241645245,29.923076923076923,31.25,,0.016587804222915413,0.03499910543128625,0.02617065517659031,0.002023987193066026,1.3373415833545124,0.4386866956513965,0.3280289053384697,-3.643116527346879,449.31698125825795,545.2302621214736,0.8240866519587153,769631.1867788429,1.2134646248949286,6.593252767707163,2646.4705420263904,0.6786632390745502,0.6821705426356589,0.9128787878787878,0.21649484536082475,49.90821711750758,49.88992338931025,50.137764737335246,50.90439276485789,0.5051340145203325,0.49486598547966754,319.3422908228886,316.079937882465,0.5059166329352539,0.4940833670647463,387.8103822335798,383.24815220023663,0.5056001030289343,0.49439989697106573,355.2297786476843,351.2731652835715,0.7391130264787819,2.573085944856424,1.6345812429728261,2.905614286221601,-0.14036542973991822,0.6648416282269061,0.7572386585821029,0.6368625594798576,1.1660459281670883,0.5658420308359055,1.2274235423172306,1.3628890373883389,7.848967878430975,1.1221712507432966,0.9268239098000715,1.064117632928627,1.0164896023316146,1.013066440173945,2.003911324637267,2.8034934696904688,1.0837472773890062
9,manual-no task,51.60640958310001,1282.8239436619717,1530.4829917303598,454.9942917935845,1561.1919424989335,328.10472854287417,1538.6586840304092,,,2032.5445765912218,2036.144968822234,1.1930577062363026,1.5844298717944758,829.0,554.4924,0.6688689987937273,812.0,89.43661971830986,96.83098591549296,40.57142857142857,62.5,,0.014698371823410859,0.016604834432038963,0.0009739981137277805,2.6826028517840403e-05,17.04811764828509,0.5140174222106831,0.030150978120589717,-6.93410119094807,1439.7719149330728,1620.4310326032708,0.8885116897693797,7329496.167395487,1.1254775953027225,7.5720442320462515,7295.035287712946,0.6091549295774648,0.6148409893992933,0.8333333333333334,0.18055555555555555,49.95411461757617,49.28765214555456,50.01629052847567,53.003533568904594,0.4958668430013781,0.5041331569986217,1013.8560090526655,1022.2717886790567,0.5634353851088628,0.4365646148911371,1216.333339421109,1070.6679872100385,0.5336261665340383,0.4663738334659616,1119.6809366242478,1046.7496235407666,0.7154780944640877,3.7585912165795,2.023613938208347,2.978013435668082,-0.3573400163894503,0.5907283767845329,1.1241598170546045,0.9653954723365379,0.7501081053944971,0.6642918033792856,1.0908694439365019,1.0008183211925001,7.777301917001803,0.8470396388696118,0.5231561388479025,1.113229544690114,1.0705839156337804,0.5933864829979872,1.9872369434963473,2.4850450576354413,1.0617628289495535
10,rest,22.164973966486304,3420.215909090909,7681.5972341305815,1091.2822891754472,5157.916520727866,1325.9678277065525,5428.017269453116,,,9345.728807780131,9372.545349141166,2.245939273515731,2.7324967359339074,1049.0,702.7524,0.66992602478551,1234.5,93.75,97.1590909090909,35.2,632.8125,,0.011379750214161486,0.0007030563103385338,8.515559589999771e-06,1.493637376354671e-07,82.56137519889667,0.05814481003177197,0.0007042616464623642,-11.673615527864541,6627.3903733561565,8643.754759208517,0.7667258683265797,179967822.45008117,1.3042471127034667,8.962164971834026,45094.368750458234,0.6647727272727273,0.6742857142857143,0.9152542372881356,0.23255813953488372,50.042499596719146,48.38108597881689,54.29482976620472,50.28571428571429,0.5948918248283209,0.40510817517167913,5111.655505948563,4218.208871127622,0.4240597471387591,0.5759402528612411,5628.801864021517,6559.808374710941,0.4873060490293452,0.5126939509706546,5376.450150234184,5514.724471512043,0.7332857554288257,3.454569267722359,1.7589055373236946,2.213379105991703,-0.20886718913449714,0.7672334246611069,1.0920255590359766,1.0297828488690428,1.161078383263183,0.4465336626864838,0.6332056293963177,0.33836457322494984,7.341506121465913,0.46502107882921817,0.0,0.6881265606477325,0.6680803012578582,0.2571210574850942,2.017737224094854,1.7354607611846422,1.1443446233136763
