5/3/2019, 2:55:23 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,1.20E-11,,
,0.004,2.41E-11,,
,0.006,3.63E-11,,
,0.008,3.68E-11,,
,0.01,3.72E-11,,
,0.012,3.73E-11,,
,0.014,3.69E-11,,
,0.016,3.64E-11,,
,0.018,3.62E-11,,
,0.02,3.63E-11,,
,0.022,3.63E-11,,
,0.024,3.63E-11,,
,0.026,3.62E-11,,
,0.028,3.63E-11,,
,0.03,3.63E-11,,
,0.032,3.62E-11,,
,0.034,3.58E-11,,
,0.036,3.57E-11,,
,0.038,3.57E-11,,
,0.04,3.60E-11,,
,0.042,3.65E-11,,
,0.044,3.67E-11,,
,0.046,3.66E-11,,
,0.048,3.60E-11,,
,0.05,3.55E-11,,
,0.052,3.54E-11,,
,0.054,3.54E-11,,
,0.056,3.58E-11,,
,0.058,3.58E-11,,
,0.06,3.60E-11,,
,0.062,3.58E-11,,
,0.064,3.55E-11,,
,0.066,3.50E-11,,
,0.068,3.48E-11,,
,0.07,3.49E-11,,
,0.072,3.52E-11,,
,0.074,3.53E-11,,
,0.076,3.57E-11,,
,0.078,3.57E-11,,
,0.08,3.56E-11,,
,0.082,3.51E-11,,
,0.084,3.48E-11,,
,0.086,3.47E-11,,
,0.088,3.47E-11,,
,0.09,3.49E-11,,
,0.092,3.52E-11,,
,0.094,3.54E-11,,
,0.096,3.52E-11,,
,0.098,3.48E-11,,
,0.1,3.44E-11,,
,0.102,3.43E-11,,
,0.104,3.42E-11,,
,0.106,3.42E-11,,
,0.108,3.44E-11,,
,0.11,3.45E-11,,
,0.112,3.42E-11,,
,0.114,3.37E-11,,
,0.116,3.30E-11,,
,0.118,3.27E-11,,
,0.12,3.22E-11,,
,0.122,3.21E-11,,
,0.124,3.21E-11,,
,0.126,3.24E-11,,
,0.128,3.21E-11,,
,0.13,3.14E-11,,
,0.132,3.02E-11,,
,0.134,2.95E-11,,
,0.136,2.90E-11,,
,0.138,2.86E-11,,
,0.14,2.84E-11,,
,0.142,2.82E-11,,
,0.144,2.80E-11,,
,0.146,2.75E-11,,
,0.148,2.65E-11,,
,0.15,2.55E-11,,
,0.152,2.46E-11,,
,0.154,2.39E-11,,
,0.156,2.34E-11,,
,0.158,2.32E-11,,
,0.16,2.27E-11,,
,0.162,2.23E-11,,
,0.164,2.13E-11,,
,0.166,2.04E-11,,
,0.168,1.94E-11,,
,0.17,1.90E-11,,
,0.172,1.85E-11,,
,0.174,1.82E-11,,
,0.176,1.76E-11,,
,0.178,1.70E-11,,
,0.18,1.63E-11,,
,0.182,1.53E-11,,
,0.184,1.43E-11,,
,0.186,1.32E-11,,
,0.188,1.26E-11,,
,0.19,1.22E-11,,
,0.192,1.19E-11,,
,0.194,1.12E-11,,
,0.196,1.03E-11,,
,0.198,9.10E-12,,
,0.2,7.81E-12,,
,0.202,6.95E-12,,
,0.204,6.63E-12,,
,0.206,6.20E-12,,
,0.208,5.66E-12,,
,0.21,4.59E-12,,
,0.212,3.62E-12,,
,0.214,2.55E-12,,
,0.216,1.26E-12,,
,0.218,8.20E-14,,
,0.22,-9.92E-13,,
,0.222,-1.74E-12,,
,0.224,-2.39E-12,,
,0.226,-3.03E-12,,
,0.228,-3.57E-12,,
,0.23,-4.43E-12,,
,0.232,-5.72E-12,,
,0.234,-7.33E-12,,
,0.236,-8.40E-12,,
,0.238,-9.15E-12,,
,0.24,-9.47E-12,,
,0.242,-1.00E-11,,
,0.244,-1.07E-11,,
,0.246,-1.18E-11,,
,0.248,-1.34E-11,,
,0.25,-1.48E-11,,
,0.252,-1.61E-11,,
,0.254,-1.71E-11,,
,0.256,-1.80E-11,,
,0.258,-1.86E-11,,
,0.26,-1.92E-11,,
,0.262,-1.98E-11,,
,0.264,-2.12E-11,,
,0.266,-2.24E-11,,
,0.268,-2.40E-11,,
,0.27,-2.45E-11,,
,0.272,-2.51E-11,,
,0.274,-2.54E-11,,
,0.276,-2.58E-11,,
,0.278,-2.63E-11,,
,0.28,-2.74E-11,,
,0.282,-2.86E-11,,
,0.284,-2.95E-11,,
,0.286,-3.04E-11,,
,0.288,-3.08E-11,,
,0.29,-3.11E-11,,
,0.292,-3.11E-11,,
,0.294,-3.14E-11,,
,0.296,-3.18E-11,,
,0.298,-3.24E-11,,
,0.3,-3.30E-11,,
,0.302,-3.37E-11,,
,0.304,-3.38E-11,,
,0.306,-3.38E-11,,
,0.308,-3.33E-11,,
,0.31,-3.29E-11,,
,0.312,-3.27E-11,,
,0.314,-3.29E-11,,
,0.316,-3.32E-11,,
,0.318,-3.33E-11,,
,0.32,-3.33E-11,,
,0.322,-3.32E-11,,
,0.324,-3.30E-11,,
,0.326,-3.22E-11,,
,0.328,-3.17E-11,,
,0.33,-3.11E-11,,
,0.332,-3.11E-11,,
,0.334,-3.09E-11,,
,0.336,-3.06E-11,,
,0.338,-3.01E-11,,
,0.34,-2.91E-11,,
