5/5/2019, 6:57:06 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.001004,-2.66E-11,,
,0.003004,-5.31E-11,,
,0.005004,-7.96E-11,,
,0.007004,-7.94E-11,,
,0.009004,-7.91E-11,,
,0.011004,-7.89E-11,,
,0.013004,-7.89E-11,,
,0.015004,-7.88E-11,,
,0.017004,-7.88E-11,,
,0.019004,-7.90E-11,,
,0.021004,-7.96E-11,,
,0.023004,-8.00E-11,,
,0.025004,-8.03E-11,,
,0.027004,-8.03E-11,,
,0.029004,-8.02E-11,,
,0.031004,-8.00E-11,,
,0.033004,-8.01E-11,,
,0.035004,-8.04E-11,,
,0.037004,-8.11E-11,,
,0.039004,-8.16E-11,,
,0.041004,-8.22E-11,,
,0.043004,-8.22E-11,,
,0.045004,-8.20E-11,,
,0.047004,-8.18E-11,,
,0.049004,-8.18E-11,,
,0.051004,-8.24E-11,,
,0.053004,-8.28E-11,,
,0.055004,-8.34E-11,,
,0.057004,-8.37E-11,,
,0.059004,-8.40E-11,,
,0.061004,-8.41E-11,,
,0.063004,-8.40E-11,,
,0.065004,-8.40E-11,,
,0.067004,-8.40E-11,,
,0.069004,-8.43E-11,,
,0.071004,-8.48E-11,,
,0.073004,-8.52E-11,,
,0.075004,-8.52E-11,,
,0.077004,-8.48E-11,,
,0.079004,-8.46E-11,,
,0.081004,-8.44E-11,,
,0.083004,-8.44E-11,,
,0.085004,-8.44E-11,,
,0.087004,-8.47E-11,,
,0.089004,-8.48E-11,,
,0.091004,-8.48E-11,,
,0.093004,-8.48E-11,,
,0.095004,-8.45E-11,,
,0.097004,-8.40E-11,,
,0.099004,-8.33E-11,,
,0.101004,-8.32E-11,,
,0.103004,-8.35E-11,,
,0.105004,-8.34E-11,,
,0.107004,-8.32E-11,,
,0.109004,-8.28E-11,,
,0.111004,-8.24E-11,,
,0.113004,-8.18E-11,,
,0.115004,-8.10E-11,,
,0.117004,-8.04E-11,,
,0.119004,-7.99E-11,,
,0.121004,-8.00E-11,,
,0.123004,-8.00E-11,,
,0.125004,-7.99E-11,,
,0.127004,-7.94E-11,,
,0.129004,-7.84E-11,,
,0.131004,-7.74E-11,,
,0.133004,-7.64E-11,,
,0.135004,-7.60E-11,,
,0.137004,-7.57E-11,,
,0.139004,-7.56E-11,,
,0.141004,-7.50E-11,,
,0.143004,-7.41E-11,,
,0.145004,-7.32E-11,,
,0.147004,-7.23E-11,,
,0.149004,-7.16E-11,,
,0.151004,-7.10E-11,,
,0.153004,-7.07E-11,,
,0.155004,-7.02E-11,,
,0.157004,-6.98E-11,,
,0.159004,-6.92E-11,,
,0.161004,-6.84E-11,,
,0.163004,-6.74E-11,,
,0.165004,-6.65E-11,,
,0.167004,-6.57E-11,,
,0.169004,-6.51E-11,,
,0.171004,-6.49E-11,,
,0.173004,-6.43E-11,,
,0.175004,-6.38E-11,,
,0.177004,-6.28E-11,,
,0.179004,-6.21E-11,,
,0.181004,-6.13E-11,,
,0.183004,-6.08E-11,,
,0.185004,-6.05E-11,,
,0.187004,-6.03E-11,,
,0.189004,-6.03E-11,,
,0.191004,-5.98E-11,,
,0.193004,-5.93E-11,,
,0.195004,-5.84E-11,,
,0.197004,-5.79E-11,,
,0.199004,-5.75E-11,,
,0.201004,-5.72E-11,,
,0.203004,-5.70E-11,,
,0.205004,-5.70E-11,,
,0.207004,-5.71E-11,,
,0.209004,-5.70E-11,,
,0.211004,-5.67E-11,,
,0.213004,-5.62E-11,,
,0.215004,-5.60E-11,,
,0.217004,-5.59E-11,,
,0.219004,-5.63E-11,,
,0.221004,-5.68E-11,,
,0.223004,-5.75E-11,,
,0.225004,-5.78E-11,,
,0.227004,-5.80E-11,,
,0.229004,-5.81E-11,,
,0.231004,-5.81E-11,,
,0.233004,-5.82E-11,,
,0.235004,-5.86E-11,,
,0.237004,-5.94E-11,,
,0.239004,-6.03E-11,,
,0.241004,-6.12E-11,,
,0.243004,-6.18E-11,,
,0.245004,-6.25E-11,,
,0.247004,-6.28E-11,,
,0.249004,-6.36E-11,,
,0.251004,-6.44E-11,,
,0.253004,-6.57E-11,,
,0.255004,-6.71E-11,,
,0.257004,-6.84E-11,,
,0.259004,-6.96E-11,,
,0.261004,-7.05E-11,,
,0.263004,-7.09E-11,,
,0.265004,-7.14E-11,,
,0.267004,-7.24E-11,,
,0.269004,-7.38E-11,,
,0.271004,-7.52E-11,,
,0.273004,-7.67E-11,,
,0.275004,-7.81E-11,,
,0.277004,-7.91E-11,,
,0.279004,-7.98E-11,,
,0.281004,-8.06E-11,,
,0.283004,-8.18E-11,,
,0.285004,-8.31E-11,,
,0.287004,-8.45E-11,,
,0.289004,-8.58E-11,,
,0.291004,-8.70E-11,,
,0.293004,-8.81E-11,,
,0.295004,-8.89E-11,,
,0.297004,-8.99E-11,,
,0.299004,-9.06E-11,,
,0.301004,-9.17E-11,,
,0.303004,-9.29E-11,,
